item_id,waist,size,quality,cup size,hips,bra size,category,bust,height,user_name,length,fit,user_id,shoe size,shoe width,review_summary,review_text
234821,,38,5.0,c,,42.0,dresses,,5ft 10in,Jasmine,just right,large,336216,10.0,average,"The fabric is odd, the dress is fantastic.","The fabric is very textured and not something I would use for apparel, but this dress is stunning. I got 12 compliments, when I wore it the first time. It is so good that I came back and bought it in black too."
130225,,12,2.0,b,38.0,36.0,new,,5ft 10in,Britt,just right,small,993060,,,,
175771,,12,4.0,,,,dresses,,5ft 10in,ar.diver,slightly short,fit,305421,,,As soon as I saw this dre,"As soon as I saw this dress I knew I had to have it! I was nervous waiting for the package as it was my first modcloth purchase. When it came in the post I was very pleased to see it runs true to the sizing chart. I thought it fit perfectly (I'm usually a Aus 12 or L) and the fabric was lovely however not as thick as some have mentioned here but its not an issue at all, its still nice and bright. For me it was a bit short however thats due to me being tall, nothing a pair of stockings can fix. In summary if you are thinking about purchasing this dress go for it! it won't disappoint :)"
154411,,4,3.0,dd/e,36.0,32.0,new,34.0,5ft 2in,srwilliams0219,just right,fit,862665,6.5,narrow,I love this dress I also,"I love this dress I also have the Dino earrings!  I wear this dress to work all the time ! Fabric is lovely, not at all see through, and there is a slip underneath. Color is as shows. It looks better with a belt"
175771,,4,5.0,b,38.0,32.0,dresses,,5ft 2in,Nandini,slightly short,fit,139834,,,Love this dress! I wore i,"Love this dress! I wore it with tights (felt a little short), and got so many compliments!"
171740,,11,5.0,d,41.0,34.0,dresses,39.0,5ft 9in,devsaunders,slightly short,fit,336691,10.0,,"High quality fabric, comf","High quality fabric, comfortable, perfect for an hourglass figure. It's a little shorter on me but I have a 34 inch inseam. It hits about 4 inches above my knee."
147714,,15,5.0,d,44.0,36.0,new,40.0,5ft 9in,chrissytoes2,slightly short,fit,684541,8.0,average,,
137865,,15,5.0,d,,34.0,new,,5ft 9in,jpklene3,just right,large,655300,,,,
171579,,12,4.0,ddd/f,,38.0,dresses,,5ft 5in,annemarie.gallo,just right,fit,163790,,,The fabric is thick and w,The fabric is thick and warm but a little itchy. Great cut for many body types.
152702,,8,5.0,dd/e,35.0,34.0,new,,5ft 6in,jadacousar8,slightly long,fit,615396,,,Fit great.,Fit great.
210299,,26,3.0,d,36.0,46.0,dresses,,5ft,Heather,just right,large,79240,8.0,,Returned.  Didn't lay rig,Returned.  Didn't lay right.  I have a belly and I just looked pregnant!
151045,,12,4.0,c,37.0,34.0,new,,5ft 4in,stacytuberdyke,just right,fit,591360,,,,
165525,,12,2.0,c,,34.0,dresses,,5ft 6in,Amy,slightly short,large,899444,,,The sleeves are awkward a,"The sleeves are awkward and the fit was too loose for me, but a size down is too small. Also too short for my taste."
175771,,4,4.0,d,35.0,32.0,dresses,32.0,5ft,anneliana,just right,fit,808145,,,Very cute dress was perfe,Very cute dress was perfect for Holiday Parties.  One complaint one of the buttons fell off before I even wore it.  I think I was lucky I found it and sewed it back on because I was at home.
163185,,4,3.0,a,35.0,34.0,dresses,32.0,5ft 4in,dwatson618,just right,large,182698,,,This is a fun dress. I do,This is a fun dress. I do love. a good plaid. I felt the buttons it came with were of poor quality and didn't compliment the dress. I removed them and replaced them with antique silver buttons from my button jar. I left the buttons off the collar entirely as I felt they were too busy  with such a vibrant print.
126560,,8,2.0,b,38.0,34.0,new,,5ft 8in,danielle.svancara,very short,small,218637,,,,
154411,,12,3.0,dd/e,41.0,34.0,new,,5ft 6in,michelle.macgibbon,just right,fit,656665,9.5,narrow,This has become one of my,"This has become one of my favourite dresses.  Super cute, gets lots of compliments, and very comfortable to wear.  The sleeves are super flattering and the length is good (however, I always wear it with nylons or leggings).  It does fit snuggly across the chest on me, but not so much that it looks bad.Like other reviewers said, it was very staticy when it arrived, but I ran a metal hanger through it a bunch of times (and a dryer sheet too, if I recall correctly) which helped and it's been fine since."
136482,,20,5.0,,,,new,,5ft 3in,Jessie,just right,fit,653796,,,,
161514,,12,3.0,dd/e,38.0,34.0,dresses,,5ft 2in,vrboyett,just right,fit,363458,,,Incredibly comfortable! G,Incredibly comfortable! Great for hot weather.
